youtube_id,season,episode,name,actors
wB85m9zW6HI,1,14,זית שחור דפוק,"1,2,3,4,5,6,7"
izG0ejJ9nAU,1,15,הורים לוחצים להתחתן,
,1,15,נדב וההורים בחלל,
Am3o0SdxpFw,1,15,הצחוק של שגית,"3,4,7"
f-afzmdCpjc,1,15,בוא נפתח יומנים,"2,4"
GXi2uDeD1ug,1,15,ביה״ס קינמון - רונן ואלדד במוזיאון,"1,2"
,1,15,כותבים את ספר המחזור,
GbXuaWifLCc,1,15,קוקו והמדוזה - דואט עם מאשה,"1,3,4"
bcWHmZPKbVc,1,16,ג׳וקים,"1,2,3"
,1,16,רותם וקובאץ בהודו,
,1,16,להקת רוק - בעיה בטקסטים,
,1,16,לא ראיתי אותך שנה בערך,
,1,16,נאום ראש הממשלה,
,1,16,מאשה בסוריה,
,1,16,קינמון - הסאונדמן שובת,
,1,16,קטע מוזיקלי - תזמורת,
WB5EOENeR7I,1,16,המספרה,"1,2,6"
VRgBmzMLa2E,1,17,יפתח מתגייס לחמאס,
wS6yPzDFJlc,1,17,"יוסי, אני מתגעגעת אליך",
,1,17,אחד על אחד עם רפאל עגנון,
LRcZoj4I3UA,1,17,מה קרה לרותם בבנק,
TX9EfwtnFGM,1,17,רונן ואלדד - ניתוח,
7d5bMMVwclA,1,17,הבעיה של שגית,"3,4,7"
,1,17,חברה שלך פצצה,
,1,17,ענב חטף את הבת שלנו,
kxJIHtlu8KQ,1,17,אסיפת דיירים,
,1,17,דיווח חדשותי מארוחת הערב,
0psJC5nAfZc,1,17,שיר הנזירות,
WWc9hsTcsl0,1,18,הילדים מגן רונית,"3,4,5,6"
,1,18,אלישע - כרמיאל עוד יומיים,
,1,18,משאה והנכדה בהצגה,
M-65qiDYO1M,1,18,ביה״ס קינמון - האגדה על חישוס וזביבינה,"1,2,3,4,5,6,7"
,1,18,לא מבין מה אתה אומר,
RXODpVM8CIU,1,18,מסיבת עיתונאים,"1,2,3,4,5,7"
qWM6UPx3ZHM,1,18,השיר של מאשה - אני רוסיה,"1,2,3,4,5,6,7"
,2,1,הרסר אני לא מבין אותך,
,2,1,פאקמן,
,2,1,העלייה במרכז - מארחים את אורית כץ,
,2,1,האודישן,
uivpGi9VL7g,2,1,רונן ואלדד מקבלים מחזור,"1,2,5,6"
,2,1,חברים כבר חצי שנה,
,2,1,אסיפת הורים,
,2,1,שיר - עלטא זאכן,
1C6rUVh3uxg,2,1,נדחפים למערכון,"1,2,3,4,5,6,7"
,2,2,איפה היית ב-2 בלילה?,
,2,2,איבדתי את הקול שלי,
EAp2vcuTyqE,2,2,ויקי וליזי המתלהבות - חנוכה,"3,7"
,2,2,"חוץ - חנוכה - ויקי וליזי, מאשה",
,2,2,המאפיה האיטלקית - אני עומג למות,
,2,2,"חוץ - חנוכה - תיקי תיקי, יפתח וקובאץ",
,2,2,שיר - אין לי שום מטרה,
hg-ebRzCqPs,2,2,בין הקורות - דוד ותקווה,"1,2"
,2,3,עליה במרכז - אורלי תורג׳מן וצימוקים,
oviFrkJ9Gt8,2,3,פריצי והמזוודה,"3,4,7"
7xau6kUqvqk,2,3,השיר של רונן,"1,2"
kQikwFxDWeI,2,3,דוד ותקווה בטיפול זוגי,"1,2,4"
,2,3,הלחץ של הקיבוץ,
,2,3,חוץ - טירונות,
x0OAAyxIwAY,2,3,למה אתה עצבני?,"1,5,6,7"
xkpIVVOuJyI,2,3,ציפי וההורים - ציפי בהריון,"4,5,7"
,2,3,מוכר השטיחים,
,2,4,תינוקות,
TYCxvSi7lkw,2,4,בחינת בגרות,"1,3,5,7"
go3s_LJ3fzM,2,4,נהג המונית,"1,2"
,2,4,"חוץ - שירות צבאי - קוקו וסרנגה, להקה צבאית, קובאץ",
2tPjT4E8IeU,2,4,שגית יוצאת לדייט,"2,3,7"
,2,4,מוני חנן - מאזינים מתבכיינים,
pjrkuESzd7c,2,4,האגדה היוונית על מדוזה היפה,"4,5,7"
,2,4,יאללה מילניום,"1,2,3,4,5,6,7"
UcpRfjaNiJA,2,5,סת״ם הפקות - דוד וגוליית,"1,2,3"
p3Xiyt2Rz54,2,5,סילבי עושה סטנדאפ,7
QJ5_xvxq6pk,2,6,ועדת חוץ וביטחון,"2,3,4,5,6,7"
lozCrCcjNgA,2,6,יוסי השמן,"2,3"
75USnNKRLU0,2,6,אז מה אתה עושה בחיים,"3,5,7"
D8xrlRcjlYg,2,6,ביטוח מערכונים,"2,3,6"
,2,6,חוץ - רונן ואלדד בשיעור תורה,
iNOr0Rte26g,2,6,גדי לשם ונופר לב,"3,7"
,2,6,דוד ותקווה בחלל,
hI__cBBZEtE,2,6,שיר טנגו,
PsyRy3Mfl8o,2,7,אני סנילי,"3,4,5,7"
,2,7,חיות היער,
,2,7,להקת רוק - טקסטים שעובדים,
,2,7,ארצה שלמה,
,2,7,חוץ - קובאץ וסטנדאפ,
,2,7,אלכסיי ודימיטרי מאריינים את ברוס מתיו,
DJr1Ik61Ml4,2,7,מאשה בטיול מאורגן,1
Xh--jbpc3WQ,2,7,סטנגה,"1,2,3"
6J95xqxtrPA,2,8,שיעור ספרות,"3,4,5,6,7"
,2,8,הכנופיה,
,2,8,את לא מאמינה מה קרה,
,2,8,השיר על דוד יעקב,
,2,8,חוץ - רונן ואלדד על בנים ועל בנות,
G9Kcv3h0VLM,2,8,מאשה ותכנית הרדיו,4
CFP7h-riOrA,2,8,גרשון המנוח,"1,4,5,7"
,2,8,האודישן - חוויות מהמלחמה,
GwxK65Hn0WU,2,8,תזלזל בי,"1,2,4,6"
,2,9,נאום חגיגות 30 שנה,
drjBGpEm7Ac,2,9,סדנת קומיקאים,"3,4,5,6,7"
,2,9,שגית בשיעור פרטי אצל שמוליק,
,2,9,ביז׳ו ובן הדוד,
,2,9,חוץ - ציפי וההורים - ציפי אצל הפסיכולוגית,
,2,9,אלישע ריקודי עם - נמאס לבנות,
,2,9,1+1 = 3,
-VvdJs-SjSA,2,9,כלבים בפארק,"1,3"
,2,9,מכניסים בקטנות,
fHwTbpVKlrk,2,9,שיר להגנה,"4,7"
,RUpa9UNAbgc,10,דייט עם אמא,"3,4,5,7"
,2,10,חלום שלכם עם שנוזי פיטמן,
,2,10,מחפש שם לתינוק,
,2,10,חוץ - דוד ותקווה  והכלב,
,2,10,בדיקה בטחונים בשדה התעופה,
Ouyz9Mz3Z7M,2,10,הפסנתרנים,"4,5,7"
,2,10,טקס סיום מחזור נ״ד,
RDYYLH6j8n4,2,10,חתולי הפרא - מעוניין,"1,2,3,4"
6bnn6iDc29s,2,11,שגית בשיעור פרטי - פסיכומטרי,"4,7"
HF3Bv1zoXJY,2,11,פרפר נחמד,"1,2,4,7"
sq_TNWy2QCA,2,11,מערכון לא מצחיק,"1,2,3"
,2,11,מתיחות בטלפון,
4DB3lL44oZE,2,11,מערכון שמצולם רע מאוד,"1,2,3"
,2,11,חוץ - דוד ותקווה בהריון,
